"sample","family","genus","species","number","length","stage","activity","periodtime","range","scientific"
"POC26001","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",23.16333,1303.21478,"Carangidae Carangoides chrysophrys"
"POC26001","Carangidae","Decapterus","spp",1,NA,"AD","Passing",49.95267,2391.77755,"Carangidae Decapterus spp"
"POC26001","Carangidae","Decapterus","spp",1,NA,"AD","Passing",49.95267,2550.29461,"Carangidae Decapterus spp"
"POC26001","Carangidae","Decapterus","spp",1,NA,"AD","Passing",49.95533,1796.62336,"Carangidae Decapterus spp"
"POC26001","Carangidae","Decapterus","spp",1,NA,"AD","Passing",49.95533,1459.61285,"Carangidae Decapterus spp"
"POC26001","Carangidae","Decapterus","spp",1,NA,"AD","Passing",49.96667,1419.4734,"Carangidae Decapterus spp"
"POC26001","Carangidae","Decapterus","spp",1,NA,"AD","Passing",49.96667,1214.93519,"Carangidae Decapterus spp"
"POC26001","Carangidae","Decapterus","spp",1,NA,"AD","Passing",49.96667,1217.02558,"Carangidae Decapterus spp"
"POC26001","Carangidae","Decapterus","spp",1,NA,"AD","Passing",49.96667,1200.25462,"Carangidae Decapterus spp"
"POC26001","Carangidae","Decapterus","spp",1,NA,"AD","Passing",49.96667,1247.96887,"Carangidae Decapterus spp"
"POC26001","Carangidae","Decapterus","spp",1,NA,"AD","Passing",49.96933,1374.69569,"Carangidae Decapterus spp"
"POC26001","Carangidae","Decapterus","spp",1,NA,"AD","Passing",49.96933,1486.63888,"Carangidae Decapterus spp"
"POC25001","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",1.17467,1395.21322,"Carangidae Carangoides chrysophrys"
"POC25001","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",6.52933,1452.76438,"Nemipteridae Nemipterus spp"
"POC25001","Synodontidae","Saurida","undosquamis",1,NA,"AD","Passing",11.22133,1696.46994,"Synodontidae Saurida undosquamis"
"POC25001","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",30.81933,3324.4652,"Tetraodontidae Lagocephalus lunaris"
"POC25001","Carangidae","Carangoides","caeruleopinnatus",1,NA,"AD","Passing",57.60333,2686.05456,"Carangidae Carangoides caeruleopinnatus"
"POC24007","Carcharhinidae","Carcharhinus","sorrah",1,NA,"AD","Passing",7.632,1395.194,"Carcharhinidae Carcharhinus sorrah"
"POC24007","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",45.42933,3049.44461,"Carangidae Carangoides chrysophrys"
"POC24007","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",45.42933,1596.93871,"Carangidae Carangoides chrysophrys"
"POC24007","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",45.43,2015.68134,"Carangidae Carangoides chrysophrys"
"POC12006","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",32.86867,1853.2415,"Carangidae Carangoides chrysophrys"
"POC39004","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",4.94133,2129.69895,"Nemipteridae Nemipterus spp"
"POC39004","Serranidae","Epinephelus","areolatus",1,NA,"AD","Passing",6.12133,1293.70858,"Serranidae Epinephelus areolatus"
"POC39004","Serranidae","Epinephelus","areolatus",1,NA,"AD","Passing",6.12133,1253.91945,"Serranidae Epinephelus areolatus"
"POC39004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",12.998,1259.70083,"Carangidae Carangoides chrysophrys"
"POC39004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",12.998,1260.8212,"Carangidae Carangoides chrysophrys"
"POC39004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",12.998,1262.35643,"Carangidae Carangoides chrysophrys"
"POC39004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",12.998,1269.46044,"Carangidae Carangoides chrysophrys"
"POC39004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",12.998,1259.69396,"Carangidae Carangoides chrysophrys"
"POC39004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",12.998,1264.07181,"Carangidae Carangoides chrysophrys"
"POC39004","Carcharhinidae","Loxodon","macrorhinus",1,NA,"AD","Passing",19.35933,2334.40165,"Carcharhinidae Loxodon macrorhinus"
"POC39004","Lutjanidae","Pristipomoides","multidens",1,NA,"AD","Passing",29.54133,1175.29508,"Lutjanidae Pristipomoides multidens"
"POC39004","Echeneidae","Echeneis","naucrates",1,NA,"AD","Passing",54.61,1738.977,"Echeneidae Echeneis naucrates"
"POC38001","Carangidae","Carangoides","sp1",1,NA,"AD","Passing",6.104,1282.36035,"Carangidae Carangoides sp1"
"POC38001","Carangidae","Carangoides","sp10",1,NA,"AD","Passing",11.08467,1254.64042,"Carangidae Carangoides sp10"
"POC38001","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",13.34333,899.62299,"Carangidae Carangoides chrysophrys"
"POC25005","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",36.89333,1289.87924,"Tetraodontidae Lagocephalus lunaris"
"POC25005","Sphyrnidae","Sphyrna","lewini",1,NA,"AD","Passing",45.01667,1116.3041,"Sphyrnidae Sphyrna lewini"
"POC37002","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",6.55067,1278.96013,"Nemipteridae Nemipterus spp"
"POC37002","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",6.55067,1346.25019,"Nemipteridae Nemipterus spp"
"POC37002","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",6.55067,1526.51242,"Nemipteridae Nemipterus spp"
"POC13003","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",14.944,3708.62081,"Carangidae Carangoides chrysophrys"
"POC13003","Ariidae","Netuma","thalassina",1,NA,"AD","Passing",26.47067,2703.99615,"Ariidae Netuma thalassina"
"POC13003","Echeneidae","Echeneis","naucrates",2,NA,"AD","Passing",26.584,1030.49892,"Echeneidae Echeneis naucrates"
"POC13003","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",48.77867,2635.47916,"Tetraodontidae Lagocephalus lunaris"
"POC12005","Nemipteridae","Nemipterus","spp",4,NA,"AD","Passing",1.16267,1683.62877,"Nemipteridae Nemipterus spp"
"POC12005","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",1.242,1379.6853,"Nemipteridae Nemipterus spp"
"POC12005","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",1.242,1659.46894,"Nemipteridae Nemipterus spp"
"POC12005","Carangidae","Caranx","ignobilis",1,NA,"AD","Passing",11.76533,2846.29332,"Carangidae Caranx ignobilis"
"POC12004","Sphyraenidae","Sphyraena","qenie",1,NA,"AD","Passing",17.86867,3507.64122,"Sphyraenidae Sphyraena qenie"
"POC12004","Sphyraenidae","Sphyraena","qenie",1,NA,"AD","Passing",17.86867,3715.44938,"Sphyraenidae Sphyraena qenie"
"POC12004","Sphyraenidae","Sphyraena","qenie",1,NA,"AD","Passing",17.86867,4496.6433,"Sphyraenidae Sphyraena qenie"
"POC12004","Sphyraenidae","Sphyraena","qenie",1,NA,"AD","Passing",17.86867,5418.96013,"Sphyraenidae Sphyraena qenie"
"POC12004","Lutjanidae","Lutjanus","sebae",1,NA,"AD","Passing",26.20267,1401.42109,"Lutjanidae Lutjanus sebae"
"POC12004","Carangidae","Caranx","ignobilis",1,NA,"AD","Passing",45.138,2632.962,"Carangidae Caranx ignobilis"
"POC12004","Carangidae","Caranx","tille",1,NA,"AD","Passing",47.02333,5580.09736,"Carangidae Caranx tille"
"POC12004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",56.87933,2918.17098,"Carangidae Carangoides chrysophrys"
"POC12004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",56.87933,2321.01273,"Carangidae Carangoides chrysophrys"
"POC12004","Ariidae","Netuma","thalassina",1,NA,"AD","Passing",59.08667,947.88988,"Ariidae Netuma thalassina"
"POC12004","Ariidae","Netuma","thalassina",1,NA,"AD","Passing",59.08667,1029.20786,"Ariidae Netuma thalassina"
"POC12004","Ariidae","Netuma","thalassina",1,NA,"AD","Passing",59.08667,1428.32419,"Ariidae Netuma thalassina"
"POC12008","Carcharhinidae","Loxodon","macrorhinus",1,NA,"AD","Passing",12.83333,4300.85548,"Carcharhinidae Loxodon macrorhinus"
"POC11001","Sparidae","Argyrops","spinifer",1,NA,"AD","Passing",15.57333,1587.619,"Sparidae Argyrops spinifer"
"POC11001","Sparidae","Argyrops","spinifer",1,NA,"AD","Passing",15.57333,1573.21641,"Sparidae Argyrops spinifer"
"POC11001","Lutjanidae","Lutjanus","malabaricus",1,NA,"AD","Passing",27.03067,1681.04945,"Lutjanidae Lutjanus malabaricus"
"POC11001","Lutjanidae","Lutjanus","russellii",1,NA,"AD","Passing",27.98467,2170.62878,"Lutjanidae Lutjanus russellii"
"POC11001","Serranidae","Epinephelus","areolatus",1,NA,"AD","Passing",39.06467,1850.65716,"Serranidae Epinephelus areolatus"
"POC11001","Serranidae","Epinephelus","areolatus",1,NA,"AD","Passing",39.06467,2053.26786,"Serranidae Epinephelus areolatus"
"POC11001","Serranidae","Epinephelus","malabaricus",1,NA,"AD","Passing",45.916,1703.9659,"Serranidae Epinephelus malabaricus"
"POC39003","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",1.62067,1488.76739,"Nemipteridae Nemipterus spp"
"POC39003","Carcharhinidae","Loxodon","macrorhinus",1,NA,"AD","Passing",9.42533,1672.13401,"Carcharhinidae Loxodon macrorhinus"
"POC39003","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",27.59133,1635.64782,"Carangidae Carangoides chrysophrys"
"POC39003","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",27.63333,2851.98113,"Carangidae Carangoides chrysophrys"
"POC39003","Lutjanidae","Pristipomoides","multidens",1,NA,"AD","Passing",38.10667,1513.03925,"Lutjanidae Pristipomoides multidens"
"POC39003","Carcharhinidae","Carcharhinus","sorrah",1,NA,"AD","Passing",54.30733,2971.29607,"Carcharhinidae Carcharhinus sorrah"
"POC39003","Carcharhinidae","Carcharhinus","sorrah",1,NA,"AD","Passing",54.30733,2428.62448,"Carcharhinidae Carcharhinus sorrah"
"POC39003","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",58.212,1871.84818,"Tetraodontidae Lagocephalus lunaris"
"POC39003","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",58.27667,609.67125,"Tetraodontidae Lagocephalus lunaris"
"POC11005","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",24.588,3175.21476,"Carangidae Carangoides chrysophrys"
"POC11005","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",24.588,2744.76798,"Carangidae Carangoides chrysophrys"
"POC11005","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",24.59667,3152.41122,"Carangidae Carangoides chrysophrys"
"POC11005","Rhinidae","Rhynchobatus","australiae",1,NA,"AD","Passing",29.402,785.07054,"Rhynchobatidae Rhynchobatus australiae"
"POC26004","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",3.59733,1485.33236,"Nemipteridae Nemipterus spp"
"POC26004","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",3.59733,1005.04503,"Nemipteridae Nemipterus spp"
"POC26004","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",3.59733,1355.54948,"Nemipteridae Nemipterus spp"
"POC26004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",25.80867,1227.14507,"Carangidae Carangoides chrysophrys"
"POC26004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",25.80867,2948.52746,"Carangidae Carangoides chrysophrys"
"POC26004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",25.80867,1801.43756,"Carangidae Carangoides chrysophrys"
"POC26004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",25.80867,2042.81198,"Carangidae Carangoides chrysophrys"
"POC26004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",25.80867,2306.49744,"Carangidae Carangoides chrysophrys"
"POC26004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",25.80867,1814.6004,"Carangidae Carangoides chrysophrys"
"POC26004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",25.80867,2751.2658,"Carangidae Carangoides chrysophrys"
"POC26004","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",25.80867,1153.60258,"Carangidae Carangoides chrysophrys"
"POC26004","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",41.808,1568.56245,"Tetraodontidae Lagocephalus lunaris"
"POC26004","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",41.808,1625.73703,"Tetraodontidae Lagocephalus lunaris"
"POC26004","Tetraodontidae","Lagocephalus","lunaris",1,NA,"AD","Passing",41.808,1810.37589,"Tetraodontidae Lagocephalus lunaris"
"POC13004","Synodontidae","Synodus","indicus",1,277.29502,"AD","Passing",1.78867,2089.98261,"Synodontidae Synodus indicus"
"POC13004","Carcharhinidae","Carcharhinus","coatesi",1,593.8739,"AD","Passing",12.548,1671.03721,"Carcharhinidae Carcharhinus coatesi"
"POC13004","Carcharhinidae","Carcharhinus","sorrah",1,1005.45946,"AD","Passing",13.21867,2766.69829,"Carcharhinidae Carcharhinus sorrah"
"POC13004","Carangidae","Decapterus","spp",1,273.47645,"AD","Passing",13.36467,3156.33759,"Carangidae Decapterus spp"
"POC13004","Carangidae","Decapterus","spp",1,159.72208,"AD","Passing",13.36467,3324.6446,"Carangidae Decapterus spp"
"POC13004","Carangidae","Decapterus","spp",1,208.71986,"AD","Passing",13.36467,3966.91964,"Carangidae Decapterus spp"
"POC13004","Carangidae","Decapterus","spp",1,170.50179,"AD","Passing",13.36467,3375.72583,"Carangidae Decapterus spp"
"POC13004","Carangidae","Decapterus","spp",1,400.01682,"AD","Passing",13.36467,4080.52075,"Carangidae Decapterus spp"
"POC13004","Carangidae","Decapterus","spp",1,213.57365,"AD","Passing",13.36467,3387.43049,"Carangidae Decapterus spp"
"POC13004","Ariidae","Netuma","thalassina",1,285.54969,"AD","Passing",19.93,1599.30484,"Ariidae Netuma thalassina"
"POC13004","Carangidae","Carangoides","chrysophrys",1,171.39419,"AD","Passing",28.36133,1664.21673,"Carangidae Carangoides chrysophrys"
"POC13004","Carangidae","Carangoides","chrysophrys",1,203.85593,"AD","Passing",28.42867,1615.83489,"Carangidae Carangoides chrysophrys"
"POC13004","Carangidae","Carangoides","chrysophrys",1,191.61101,"AD","Passing",28.446,1906.15949,"Carangidae Carangoides chrysophrys"
"POC13004","Carangidae","Carangoides","chrysophrys",1,181.12029,"AD","Passing",28.446,2402.58702,"Carangidae Carangoides chrysophrys"
"POC13004","Carangidae","Carangoides","chrysophrys",1,179.58863,"AD","Passing",28.44933,1720.17315,"Carangidae Carangoides chrysophrys"
"POC13004","Carangidae","Carangoides","chrysophrys",1,182.12209,"AD","Passing",28.49733,1374.04069,"Carangidae Carangoides chrysophrys"
"POC13004","Carangidae","Carangoides","chrysophrys",1,181.27369,"AD","Passing",28.524,1474.00174,"Carangidae Carangoides chrysophrys"
"POC13004","Synodontidae","Saurida","undosquamis",1,314.71878,"AD","Passing",31.41333,2220.43884,"Synodontidae Saurida undosquamis"
"POC13004","Tetraodontidae","Lagocephalus","lunaris",1,318.90154,"AD","Passing",34.13467,1963.78677,"Tetraodontidae Lagocephalus lunaris"
"POC13004","Rachycentridae","Rachycentron","canadum",1,685.47902,"AD","Passing",36.95533,2444.30366,"Rachycentridae Rachycentron canadum"
"POC24010","Synodontidae","Saurida","undosquamis",1,262.38363,"AD","Passing",11.62067,1920.479,"Synodontidae Saurida undosquamis"
"POC24010","Echeneidae","Echeneis","naucrates",1,176.59299,"AD","Passing",31.472,1900.91147,"Echeneidae Echeneis naucrates"
"POC24010","Carcharhinidae","Carcharhinus","sorrah",1,1299.73079,"AD","Passing",31.476,2303.30665,"Carcharhinidae Carcharhinus sorrah"
"POC24010","Tetraodontidae","Lagocephalus","lunaris",1,323.71886,"AD","Passing",35.33867,1499.32219,"Tetraodontidae Lagocephalus lunaris"
"POC24010","Tetraodontidae","Lagocephalus","lunaris",1,335.27942,"AD","Passing",35.36,2019.81699,"Tetraodontidae Lagocephalus lunaris"
"POC24010","Tetraodontidae","Lagocephalus","lunaris",1,335.1665,"AD","Passing",35.45133,2107.21354,"Tetraodontidae Lagocephalus lunaris"
"POC24010","Tetraodontidae","Lagocephalus","lunaris",1,329.64899,"AD","Passing",35.53067,1961.44745,"Tetraodontidae Lagocephalus lunaris"
"POC24010","Carangidae","Caranx","ignobilis",1,566.62821,"AD","Passing",39.83,2179.31473,"Carangidae Caranx ignobilis"
"POC24010","Terapontidae","Terapon","jarbua",1,240.84821,"AD","Passing",42.39,1920.85377,"Terapontidae Terapon jarbua"
"POC24010","Terapontidae","Terapon","jarbua",1,212.6457,"AD","Passing",42.39467,1685.64176,"Terapontidae Terapon jarbua"
"POC24010","Terapontidae","Terapon","jarbua",1,204.2178,"AD","Passing",42.41667,2076.08265,"Terapontidae Terapon jarbua"
"POC24010","Terapontidae","Terapon","jarbua",1,234.79018,"AD","Passing",42.442,1403.80903,"Terapontidae Terapon jarbua"
"POC12007","Nemipteridae","Nemipterus","spp",1,88.06168,"AD","Passing",4.482,1369.33572,"Nemipteridae Nemipterus spp"
"POC12007","Lutjanidae","Pristipomoides","multidens",1,489.12661,"AD","Passing",13.66,2727.28545,"Lutjanidae Pristipomoides multidens"
"POC12007","Tetraodontidae","Lagocephalus","lunaris",1,286.96228,"AD","Passing",25.73867,2998.85728,"Tetraodontidae Lagocephalus lunaris"
"POC12007","Carangidae","Carangoides","chrysophrys",1,180.18025,"AD","Passing",46.6,3554.94264,"Carangidae Carangoides chrysophrys"
"POC12007","Carangidae","Carangoides","chrysophrys",1,178.73475,"AD","Passing",46.602,3560.71429,"Carangidae Carangoides chrysophrys"
"POC12007","Carangidae","Caranx","ignobilis",1,786.88941,"AD","Passing",46.914,4175.92011,"Carangidae Caranx ignobilis"
"POC25002","Terapontidae","Terapon","jarbua",1,301.13064,"AD","Passing",29.58867,1291.454,"Terapontidae Terapon jarbua"
"POC25002","Terapontidae","Terapon","jarbua",1,215.05295,"AD","Feeding",35.09533,1502.68084,"Terapontidae Terapon jarbua"
"POC25002","Terapontidae","Terapon","jarbua",1,236.66197,"AD","Passing",35.106,1511.15938,"Terapontidae Terapon jarbua"
"POC25002","Carcharhinidae","Carcharhinus","sorrah",1,830.05762,"AD","Passing",44.348,1446.64159,"Carcharhinidae Carcharhinus sorrah"
"POC25002","Tetraodontidae","Lagocephalus","lunaris",1,419.50249,"AD","Passing",47.98,1440.34901,"Tetraodontidae Lagocephalus lunaris"
"POC25002","Tetraodontidae","Lagocephalus","lunaris",1,364.86968,"AD","Passing",47.98867,1557.3312,"Tetraodontidae Lagocephalus lunaris"
"POC25002","Tetraodontidae","Lagocephalus","lunaris",1,273.22722,"AD","Passing",48.12,1534.5545,"Tetraodontidae Lagocephalus lunaris"
"POC24008","Carangidae","Carangoides","chrysophrys",1,149.55609,"AD","Passing",29.4,2365.11515,"Carangidae Carangoides chrysophrys"
"POC24008","Carangidae","Carangoides","sp10",1,73.35131,"AD","Passing",42.75533,1445.95859,"Carangidae Carangoides sp10"
"POC24008","Tetraodontidae","Lagocephalus","lunaris",1,334.67802,"AD","Passing",48.60667,1546.68361,"Tetraodontidae Lagocephalus lunaris"
"POC24008","Tetraodontidae","Lagocephalus","lunaris",1,292.07083,"AD","Passing",48.634,1546.03616,"Tetraodontidae Lagocephalus lunaris"
"POC13001","Terapontidae","Terapon","jarbua",1,216.90903,"AD","Passing",4.172,1546.47615,"Terapontidae Terapon jarbua"
"POC13001","Carcharhinidae","Carcharhinus","coatesi",1,551.53244,"AD","Passing",8.10867,2005.28332,"Carcharhinidae Carcharhinus coatesi"
"POC13001","Synodontidae","Saurida","undosquamis",1,323.57789,"AD","Passing",9.03733,2170.87789,"Synodontidae Saurida undosquamis"
"POC13001","Ariidae","Netuma","thalassina",1,262.08741,"AD","Passing",12.116,1285.23079,"Ariidae Netuma thalassina"
"POC13001","Ariidae","Netuma","thalassina",1,241.152,"AD","Passing",12.16133,1348.48339,"Ariidae Netuma thalassina"
"POC13001","Ariidae","Netuma","thalassina",1,257.10867,"AD","Passing",12.26467,1037.55249,"Ariidae Netuma thalassina"
"POC13001","Carangidae","Carangoides","chrysophrys",1,210.44143,"AD","Passing",18.28267,1764.24451,"Carangidae Carangoides chrysophrys"
"POC13001","Carangidae","Carangoides","chrysophrys",1,210.96436,"AD","Passing",19.954,1644.07914,"Carangidae Carangoides chrysophrys"
"POC13001","Carangidae","Carangoides","chrysophrys",1,172.49249,"AD","Passing",19.998,1771.32779,"Carangidae Carangoides chrysophrys"
"POC13001","Carangidae","Carangoides","chrysophrys",1,165.5394,"AD","Passing",20.016,1748.53479,"Carangidae Carangoides chrysophrys"
"POC13001","Carangidae","Carangoides","chrysophrys",1,173.66199,"AD","Passing",20.02067,1724.83436,"Carangidae Carangoides chrysophrys"
"POC13001","Carcharhinidae","Loxodon","macrorhinus",1,379.17277,"AD","Passing",29.12733,1292.67649,"Carcharhinidae Loxodon macrorhinus"
"POC13001","Nemipteridae","Nemipterus","spp",1,137.30699,"AD","Passing",43.95133,2666.84541,"Nemipteridae Nemipterus spp"
"POC13001","Nemipteridae","Nemipterus","spp",1,127.53641,"AD","Passing",44.77067,1221.53438,"Nemipteridae Nemipterus spp"
"POC25004","Carangidae","Carangoides","chrysophrys",1,213.78385,"AD","Passing",8.53333,1876.59385,"Carangidae Carangoides chrysophrys"
"POC25004","Carangidae","Carangoides","chrysophrys",1,182.60154,"AD","Passing",20.68867,2619.2079,"Carangidae Carangoides chrysophrys"
"POC25004","Tetraodontidae","Lagocephalus","lunaris",1,342.65349,"AD","Passing",30.69533,1394.69627,"Tetraodontidae Lagocephalus lunaris"
"POC25004","Tetraodontidae","Lagocephalus","lunaris",1,333.84085,"AD","Passing",30.69533,1798.39169,"Tetraodontidae Lagocephalus lunaris"
"POC25004","Tetraodontidae","Lagocephalus","lunaris",1,306.17889,"AD","Passing",30.70067,1789.74891,"Tetraodontidae Lagocephalus lunaris"
"POC37004","Nemipteridae","Nemipterus","spp",1,249.62582,"AD","Passing",12.758,1494.21208,"Nemipteridae Nemipterus spp"
"POC37004","Nemipteridae","Nemipterus","spp",1,258.48988,"AD","Passing",12.76667,1671.38328,"Nemipteridae Nemipterus spp"
"POC37004","Nemipteridae","Nemipterus","spp",1,241.85672,"AD","Passing",12.76667,1729.20454,"Nemipteridae Nemipterus spp"
"POC37004","Synodontidae","Saurida","undosquamis",1,431.66211,"AD","Passing",23.596,2081.66036,"Synodontidae Saurida undosquamis"
"POC37004","Tetraodontidae","Lagocephalus","lunaris",1,409.65926,"AD","Passing",31.42267,2063.18533,"Tetraodontidae Lagocephalus lunaris"
"POC37004","Carcharhinidae","Carcharhinus","plumbeus",1,961.35967,"AD","Passing",43.19,1843.32548,"Carcharhinidae Carcharhinus plumbeus"
"POC37004","Carangidae","Caranx","ignobilis",1,620.74549,"AD","Passing",54.00333,2396.77548,"Carangidae Caranx ignobilis"
"POC37004","Carangidae","Carangoides","sp10",1,88.26775,"AD","Passing",56.668,1411.35093,"Carangidae Carangoides sp10"
"POC13002","Synodontidae","Synodus","indicus",1,195.62301,"AD","Passing",2.878,1859.79711,"Synodontidae Synodus indicus"
"POC13002","Ariidae","Netuma","thalassina",1,304.07036,"AD","Passing",7.88333,1786.8548,"Ariidae Netuma thalassina"
"POC13002","Carangidae","Carangoides","chrysophrys",1,253.61853,"AD","Passing",16.18333,2469.66613,"Carangidae Carangoides chrysophrys"
"POC13002","Carangidae","Decapterus","spp",1,187.52094,"AD","Passing",24.61467,1582.02521,"Carangidae Decapterus spp"
"POC13002","Terapontidae","Terapon","jarbua",1,234.17967,"AD","Passing",57.924,1740.4177,"Terapontidae Terapon jarbua"
"POC13002","Terapontidae","Terapon","jarbua",1,199.45553,"AD","Passing",57.988,1256.8971,"Terapontidae Terapon jarbua"
"POC13002","Terapontidae","Terapon","jarbua",1,206.73557,"AD","Passing",58.052,1713.04861,"Terapontidae Terapon jarbua"
"POC13002","Tetraodontidae","Lagocephalus","lunaris",1,374.10761,"AD","Passing",59.30533,1845.88255,"Tetraodontidae Lagocephalus lunaris"
"POC13002","Tetraodontidae","Lagocephalus","lunaris",1,325.04774,"AD","Passing",59.31267,1273.41203,"Tetraodontidae Lagocephalus lunaris"
"POC26005","Nemipteridae","Nemipterus","spp",1,143.43462,"AD","Passing",2.98933,1410.666,"Nemipteridae Nemipterus spp"
"POC26005","Nemipteridae","Nemipterus","spp",1,102.22435,"AD","Passing",3.04867,1770.87425,"Nemipteridae Nemipterus spp"
"POC26005","Nemipteridae","Nemipterus","spp",1,75.89451,"AD","Passing",3.16933,1431.96834,"Nemipteridae Nemipterus spp"
"POC26005","Tetraodontidae","Lagocephalus","lunaris",1,360.70358,"AD","Passing",13.69467,1276.39175,"Tetraodontidae Lagocephalus lunaris"
"POC26005","Carcharhinidae","Carcharhinus","coatesi",1,639.02106,"AD","Passing",18.16867,1781.46398,"Carcharhinidae Carcharhinus coatesi"
"POC26005","Carcharhinidae","Carcharhinus","sorrah",1,1039.58363,"AD","Passing",27.25733,1605.69194,"Carcharhinidae Carcharhinus sorrah"
"POC26005","Carcharhinidae","Carcharhinus","plumbeus",1,1282.9603,"AD","Passing",36.53667,1605.62546,"Carcharhinidae Carcharhinus plumbeus"
"POC26005","Carangidae","Carangoides","chrysophrys",1,443.69079,"AD","Passing",36.72133,2429.16606,"Carangidae Carangoides chrysophrys"
"POC26005","Carangidae","Carangoides","chrysophrys",1,210.6112,"AD","Passing",36.72133,2035.01372,"Carangidae Carangoides chrysophrys"
"POC26005","Carangidae","Carangoides","chrysophrys",1,208.57127,"AD","Passing",36.74467,1833.47592,"Carangidae Carangoides chrysophrys"
"POC26005","Carangidae","Carangoides","chrysophrys",1,471.64262,"AD","Passing",36.74467,2094.87298,"Carangidae Carangoides chrysophrys"
"POC26005","Carangidae","Carangoides","chrysophrys",1,450.19653,"AD","Passing",36.74467,2606.76872,"Carangidae Carangoides chrysophrys"
"POC26005","Carangidae","Carangoides","chrysophrys",1,370.39886,"AD","Passing",36.76733,2330.83792,"Carangidae Carangoides chrysophrys"
"POC26005","Ariidae","Netuma","thalassina",1,308.44615,"AD","Feeding",41.42733,1306.29474,"Ariidae Netuma thalassina"
"POC26005","Carangidae","Carangoides","sp10",1,91.74471,"AD","Passing",45.40133,783.63975,"Carangidae Carangoides sp10"
"POC12009","Synodontidae","Saurida","undosquamis",1,338.56067,"AD","Passing",1.97533,3132.01517,"Synodontidae Saurida undosquamis"
"POC12009","Nemipteridae","Nemipterus","spp",1,79.01877,"AD","Passing",4.39,2154.01799,"Nemipteridae Nemipterus spp"
"POC12009","Platycephalidae","Unknown","spp",1,53.02418,"AD","Passing",21.67267,1242.24295,"Platycephalidae Unknown spp"
"POC12009","Carcharhinidae","Loxodon","macrorhinus",1,536.03559,"AD","Passing",22.48,1749.99759,"Carcharhinidae Loxodon macrorhinus"
"POC12009","Lutjanidae","Pristipomoides","multidens",1,500.3169,"AD","Passing",37.69867,1719.00251,"Lutjanidae Pristipomoides multidens"
"POC12009","Tetraodontidae","Lagocephalus","lunaris",1,394.79504,"AD","Passing",43.02867,2135.28166,"Tetraodontidae Lagocephalus lunaris"
"POC12009","Tetraodontidae","Lagocephalus","lunaris",1,393.0328,"AD","Passing",43.05933,2543.41196,"Tetraodontidae Lagocephalus lunaris"
