"sample","scientific","maxn","family","genus","species"
"POC26001","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC26002","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC26003","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC26004","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC26005","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC37001","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC37002","Carangidae Seriola dumerili",1,"Carangidae","Seriola","dumerili"
"POC37003","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC37004","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC37005","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC38001","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC38002","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC38004","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC38005","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC39001","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC39002","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC39003","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC39004","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC39005","Carangidae Seriola dumerili",0,"Carangidae","Seriola","dumerili"
"POC11001","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC11002","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC11003","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC11004","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC11005","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC11009","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC11011","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC11012","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC11013","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC11014","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC11015","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC12001","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC12002","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC12003","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC12004","Carangidae Seriola hippos",1,"Carangidae","Seriola","hippos"
"POC12005","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC12006","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC12007","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC12008","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC12009","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC12010","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC13001","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC13002","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC13003","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC13004","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC13005","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC13007","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC13008","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC13009","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC13010","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC24006","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC24007","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC24008","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC24009","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC24010","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC25001","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC25002","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC25004","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC25005","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC26001","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC26002","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC26003","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC26004","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC26005","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC37001","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC37002","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC37003","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC37004","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC37005","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC38001","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC38002","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC38004","Carangidae Seriola hippos",1,"Carangidae","Seriola","hippos"
"POC38005","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC39001","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC39002","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC39003","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC39004","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC39005","Carangidae Seriola hippos",0,"Carangidae","Seriola","hippos"
"POC11001","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC11002","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC11003","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC11004","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC11005","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC11009","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC11011","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC11012","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC11013","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC11014","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC11015","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC12001","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC12002","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC12003","Carcharhinidae Carcharhinus albimarginatus",1,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC12004","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC12005","Carcharhinidae Carcharhinus albimarginatus",1,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC12006","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC12007","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC12008","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC12009","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC12010","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC13001","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC13002","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC13003","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC13004","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC13005","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC13007","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC13008","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC13009","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC13010","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC24006","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC24007","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC24008","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC24009","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC24010","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC25001","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC25002","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC25004","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC25005","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC26001","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC26002","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC26003","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC26004","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC26005","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC37001","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC37002","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC37003","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC37004","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC37005","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC38001","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC38002","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC38004","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC38005","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC39001","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC39002","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC39003","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC39004","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC39005","Carcharhinidae Carcharhinus albimarginatus",0,"Carcharhinidae","Carcharhinus","albimarginatus"
"POC11001","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC11002","Carcharhinidae Carcharhinus coatesi",2,"Carcharhinidae","Carcharhinus","coatesi"
"POC11003","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC11004","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC11005","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC11009","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC11011","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC11012","Carcharhinidae Carcharhinus coatesi",1,"Carcharhinidae","Carcharhinus","coatesi"
"POC11013","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC11014","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC11015","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC12001","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC12002","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC12003","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC12004","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC12005","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC12006","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC12007","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC12008","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC12009","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC12010","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC13001","Carcharhinidae Carcharhinus coatesi",1,"Carcharhinidae","Carcharhinus","coatesi"
"POC13002","Carcharhinidae Carcharhinus coatesi",1,"Carcharhinidae","Carcharhinus","coatesi"
"POC13003","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC13004","Carcharhinidae Carcharhinus coatesi",1,"Carcharhinidae","Carcharhinus","coatesi"
"POC13005","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC13007","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC13008","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC13009","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC13010","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC24006","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC24007","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC24008","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC24009","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC24010","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC25001","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC25002","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC25004","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC25005","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC26001","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC26002","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC26003","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC26004","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC26005","Carcharhinidae Carcharhinus coatesi",1,"Carcharhinidae","Carcharhinus","coatesi"
"POC37001","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC37002","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC37003","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC37004","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC37005","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC38001","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC38002","Carcharhinidae Carcharhinus coatesi",1,"Carcharhinidae","Carcharhinus","coatesi"
"POC38004","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC38005","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC39001","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC39002","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC39003","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC39004","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC39005","Carcharhinidae Carcharhinus coatesi",0,"Carcharhinidae","Carcharhinus","coatesi"
"POC11001","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC11002","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC11003","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC11004","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC11005","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC11009","Carcharhinidae Carcharhinus plumbeus",1,"Carcharhinidae","Carcharhinus","plumbeus"
"POC11011","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC11012","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC11013","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC11014","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC11015","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC12001","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC12002","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC12003","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC12004","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC12005","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC12006","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC12007","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC12008","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC12009","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC12010","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC13001","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC13002","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC13003","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC13004","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC13005","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC13007","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC13008","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC13009","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC13010","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC24006","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC24007","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC24008","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC24009","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC24010","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC25001","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC25002","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC25004","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC25005","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC26001","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC26002","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC26003","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC26004","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC26005","Carcharhinidae Carcharhinus plumbeus",1,"Carcharhinidae","Carcharhinus","plumbeus"
"POC37001","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC37002","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC37003","Carcharhinidae Carcharhinus plumbeus",1,"Carcharhinidae","Carcharhinus","plumbeus"
"POC37004","Carcharhinidae Carcharhinus plumbeus",1,"Carcharhinidae","Carcharhinus","plumbeus"
"POC37005","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC38001","Carcharhinidae Carcharhinus plumbeus",1,"Carcharhinidae","Carcharhinus","plumbeus"
"POC38002","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC38004","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC38005","Carcharhinidae Carcharhinus plumbeus",1,"Carcharhinidae","Carcharhinus","plumbeus"
"POC39001","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC39002","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC39003","Carcharhinidae Carcharhinus plumbeus",1,"Carcharhinidae","Carcharhinus","plumbeus"
"POC39004","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC39005","Carcharhinidae Carcharhinus plumbeus",0,"Carcharhinidae","Carcharhinus","plumbeus"
"POC11001","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC11002","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC11003","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC11004","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC11005","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC11009","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC11011","Carcharhinidae Carcharhinus sorrah",1,"Carcharhinidae","Carcharhinus","sorrah"
"POC11012","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC11013","Carcharhinidae Carcharhinus sorrah",1,"Carcharhinidae","Carcharhinus","sorrah"
"POC11014","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC11015","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC12001","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC12002","Carcharhinidae Carcharhinus sorrah",1,"Carcharhinidae","Carcharhinus","sorrah"
"POC12003","Carcharhinidae Carcharhinus sorrah",1,"Carcharhinidae","Carcharhinus","sorrah"
"POC12004","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC12005","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC12006","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC12007","Carcharhinidae Carcharhinus sorrah",1,"Carcharhinidae","Carcharhinus","sorrah"
"POC12008","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC12009","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC12010","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC13001","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC13002","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC13003","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC13004","Carcharhinidae Carcharhinus sorrah",1,"Carcharhinidae","Carcharhinus","sorrah"
"POC13005","Carcharhinidae Carcharhinus sorrah",1,"Carcharhinidae","Carcharhinus","sorrah"
"POC13007","Carcharhinidae Carcharhinus sorrah",2,"Carcharhinidae","Carcharhinus","sorrah"
"POC13008","Carcharhinidae Carcharhinus sorrah",1,"Carcharhinidae","Carcharhinus","sorrah"
"POC13009","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC13010","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
"POC24006","Carcharhinidae Carcharhinus sorrah",0,"Carcharhinidae","Carcharhinus","sorrah"
