"sample","family","genus","species","length","number","range","activity"
"POC12003","Carangidae","Caranx","tille",421.49852,1,4109.69536,"Passing"
"POC12003","Carangidae","Caranx","tille",488.97508,1,2796.4289,"Passing"
"POC12003","Carangidae","Caranx","tille",472.95296,1,4032.19521,"Passing"
"POC12003","Carangidae","Caranx","tille",452.01137,1,2498.5896,"Passing"
"POC12003","Carangidae","Caranx","tille",598.1225,1,3654.82779,"Passing"
"POC12003","Carangidae","Caranx","tille",456.9561,1,3022.11494,"Passing"
"POC12003","Carangidae","Caranx","tille",478.2119,1,3659.36945,"Passing"
"POC12003","Carangidae","Caranx","tille",455.75212,1,3452.58541,"Passing"
"POC12003","Carangidae","Decapterus","spp",NA,0,NA,NA
"POC12003","Carangidae","Seriola","dumerili",NA,0,NA,NA
"POC12003","Carangidae","Seriola","hippos",NA,0,NA,NA
"POC12003","Carcharhinidae","Carcharhinus","albimarginatus",1733.35266,1,3053.82141,"Passing"
"POC12003","Carcharhinidae","Carcharhinus","coatesi",NA,0,NA,NA
"POC12003","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,NA
"POC12003","Carcharhinidae","Carcharhinus","sorrah",1254.64896,1,3947.47052,"Passing"
"POC12003","Carcharhinidae","Carcharhinus","spp",NA,0,NA,NA
"POC12003","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,NA
"POC12003","Carcharhinidae","Loxodon","macrorhinus",NA,0,NA,NA
"POC12003","Echeneidae","Echeneis","naucrates",NA,0,NA,NA
"POC12003","Fistulariidae","Fistularia","commersonii",NA,0,NA,NA
"POC12003","Labridae","Bodianus","solatus",317.49637,1,2666.47289,"Passing"
"POC12003","Labridae","Bodianus","solatus",336.15485,1,3461.84858,"Passing"
"POC12003","Lethrinidae","Gymnocranius","grandoculis",372.55322,1,3619.12349,"Passing"
"POC12003","Lethrinidae","Lethrinus","lentjan",NA,0,NA,NA
"POC12003","Lutjanidae","Lutjanus","malabaricus",NA,0,NA,NA
"POC12003","Lutjanidae","Lutjanus","russellii",NA,0,NA,NA
"POC12003","Lutjanidae","Lutjanus","sebae",363.0708,1,1458.07841,"Passing"
"POC12003","Lutjanidae","Lutjanus","sebae",448.58816,1,2233.60327,"Passing"
"POC12003","Lutjanidae","Lutjanus","sebae",417.44684,1,1481.2525,"Passing"
"POC12003","Lutjanidae","Lutjanus","sebae",358.21713,1,1364.99856,"Passing"
"POC12003","Lutjanidae","Lutjanus","sebae",387.94968,1,1453.33339,"Passing"
"POC12003","Lutjanidae","Lutjanus","sebae",490.98912,1,2189.0062,"Passing"
"POC12003","Lutjanidae","Lutjanus","vitta",NA,0,NA,NA
"POC12003","Lutjanidae","Pristipomoides","multidens",379.04234,1,1570.66761,"Passing"
"POC12003","Lutjanidae","Pristipomoides","multidens",549.95552,1,3390.83854,"Passing"
"POC12003","Lutjanidae","Pristipomoides","sieboldii",NA,0,NA,NA
"POC12003","Mullidae","Upeneus","moluccensis",NA,0,NA,NA
"POC12003","Nemipteridae","Nemipterus","spp",199.34728,1,1898.97093,"Passing"
"POC12003","Platycephalidae","Unknown","spp",NA,0,NA,NA
"POC12003","Priacanthidae","Priacanthus","hamrur",NA,0,NA,NA
"POC12003","Rachycentridae","Rachycentron","canadum",NA,0,NA,NA
"POC12003","Rhinidae","Rhynchobatus","australiae",NA,0,NA,NA
"POC12003","Scombridae","Scomberomorus","spp",NA,0,NA,NA
"POC12003","Serranidae","Epinephelus","amblycephalus",560.16965,1,2600.36081,"Passing"
"POC12003","Serranidae","Epinephelus","areolatus",282.64413,1,1695.04561,"Passing"
"POC12003","Serranidae","Epinephelus","areolatus",301.95416,1,1497.6975,"Passing"
"POC12003","Serranidae","Epinephelus","areolatus",251.43618,1,1315.89725,"Passing"
"POC12003","Serranidae","Epinephelus","areolatus",221.73087,1,1039.58722,"Passing"
"POC12003","Serranidae","Epinephelus","areolatus",305.19249,1,1565.44772,"Passing"
"POC12003","Serranidae","Epinephelus","malabaricus",NA,0,NA,NA
"POC12003","Sparidae","Argyrops","spinifer",250.28285,1,2066.22328,"Passing"
"POC12003","Sparidae","Argyrops","spinifer",242.08964,1,2809.4352,"Passing"
"POC12003","Sphyraenidae","Sphyraena","forsteri",NA,0,NA,NA
"POC12003","Sphyraenidae","Sphyraena","qenie",277.41028,1,4589.31755,"Passing"
"POC12003","Sphyrnidae","Sphyrna","lewini",NA,0,NA,NA
"POC12003","Sphyrnidae","Sphyrna","mokarran",NA,0,NA,NA
"POC12003","Synodontidae","Saurida","undosquamis",NA,0,NA,NA
"POC12003","Synodontidae","Synodus","indicus",NA,0,NA,NA
"POC12003","Synodontidae","Trachinocephalus","trachinus",NA,0,NA,NA
"POC12003","Terapontidae","Terapon","jarbua",NA,0,NA,NA
"POC12003","Tetraodontidae","Arothron","stellatus",NA,0,NA,NA
"POC12003","Tetraodontidae","Lagocephalus","lunaris",NA,0,NA,NA
"POC12003","Tetraodontidae","Lagocephalus","sceleratus",NA,0,NA,NA
"POC12003","Triakidae","Hemitriakis","falcata",NA,0,NA,NA
"POC12004","Ariidae","Netuma","thalassina",NA,1,947.88988,"Passing"
"POC12004","Ariidae","Netuma","thalassina",NA,1,1029.20786,"Passing"
"POC12004","Ariidae","Netuma","thalassina",NA,1,1428.32419,"Passing"
"POC12004","Ariidae","Netuma","thalassina",569.28191,1,1675.7318,"Passing"
"POC12004","Balistidae","Abalistes","stellatus",256.14257,1,2125.04366,"Passing"
"POC12004","Bothidae","Unknown","spp",NA,0,NA,NA
"POC12004","Carangidae","Carangoides","caeruleopinnatus",402.87365,1,1841.77708,"Passing"
"POC12004","Carangidae","Carangoides","chrysophrys",NA,1,2918.17098,"Passing"
"POC12004","Carangidae","Carangoides","chrysophrys",NA,1,2321.01273,"Passing"
"POC12004","Carangidae","Carangoides","chrysophrys",465.06654,1,2146.03797,"Passing"
"POC12004","Carangidae","Carangoides","chrysophrys",362.36707,1,1761.49834,"Passing"
"POC12004","Carangidae","Carangoides","chrysophrys",465.1019,1,2153.73564,"Passing"
"POC12004","Carangidae","Carangoides","chrysophrys",286.69148,1,1659.87004,"Passing"
"POC12004","Carangidae","Carangoides","malabaricus",NA,0,NA,NA
"POC12004","Carangidae","Carangoides","sp1",NA,0,NA,NA
"POC12004","Carangidae","Carangoides","sp10",NA,0,NA,NA
"POC12004","Carangidae","Carangoides","spp",NA,0,NA,NA
"POC12004","Carangidae","Caranx","ignobilis",NA,1,2632.962,"Passing"
"POC12004","Carangidae","Caranx","tille",NA,1,5580.09736,"Passing"
"POC12004","Carangidae","Caranx","tille",507.72643,1,4386.95811,"Passing"
"POC12004","Carangidae","Caranx","tille",470.97731,1,3984.22751,"Passing"
"POC12004","Carangidae","Decapterus","spp",NA,0,NA,NA
"POC12004","Carangidae","Seriola","dumerili",NA,0,NA,NA
"POC12004","Carangidae","Seriola","hippos",534.76717,1,3724.49452,"Passing"
"POC12004","Carcharhinidae","Carcharhinus","albimarginatus",NA,0,NA,NA
"POC12004","Carcharhinidae","Carcharhinus","coatesi",NA,0,NA,NA
"POC12004","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,NA
"POC12004","Carcharhinidae","Carcharhinus","sorrah",NA,0,NA,NA
"POC12004","Carcharhinidae","Carcharhinus","spp",NA,0,NA,NA
"POC12004","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,NA
"POC12004","Carcharhinidae","Loxodon","macrorhinus",NA,0,NA,NA
"POC12004","Echeneidae","Echeneis","naucrates",NA,0,NA,NA
"POC12004","Fistulariidae","Fistularia","commersonii",NA,0,NA,NA
"POC12004","Labridae","Bodianus","solatus",NA,0,NA,NA
"POC12004","Lethrinidae","Gymnocranius","grandoculis",476.65776,1,1722.85844,"Passing"
"POC12004","Lethrinidae","Lethrinus","lentjan",NA,0,NA,NA
"POC12004","Lutjanidae","Lutjanus","malabaricus",NA,0,NA,NA
"POC12004","Lutjanidae","Lutjanus","russellii",NA,0,NA,NA
"POC12004","Lutjanidae","Lutjanus","sebae",NA,1,1401.42109,"Passing"
"POC12004","Lutjanidae","Lutjanus","sebae",388.04748,1,1564.34644,"Passing"
"POC12004","Lutjanidae","Lutjanus","sebae",438.04975,1,1318.15025,"Passing"
"POC12004","Lutjanidae","Lutjanus","sebae",518.91504,1,1392.79672,"Passing"
"POC12004","Lutjanidae","Lutjanus","vitta",NA,0,NA,NA
"POC12004","Lutjanidae","Pristipomoides","multidens",528.59659,1,1697.37644,"Passing"
"POC12004","Lutjanidae","Pristipomoides","multidens",498.15448,1,2356.96473,"Passing"
"POC12004","Lutjanidae","Pristipomoides","multidens",461.08122,1,1877.6574,"Passing"
"POC12004","Lutjanidae","Pristipomoides","sieboldii",NA,0,NA,NA
"POC12004","Mullidae","Upeneus","moluccensis",NA,0,NA,NA
"POC12004","Nemipteridae","Nemipterus","spp",243.89613,1,1359.02442,"Passing"
"POC12004","Platycephalidae","Unknown","spp",NA,0,NA,NA
"POC12004","Priacanthidae","Priacanthus","hamrur",NA,0,NA,NA
"POC12004","Rachycentridae","Rachycentron","canadum",NA,0,NA,NA
"POC12004","Rhinidae","Rhynchobatus","australiae",NA,0,NA,NA
"POC12004","Scombridae","Scomberomorus","spp",NA,0,NA,NA
"POC12004","Serranidae","Epinephelus","amblycephalus",NA,0,NA,NA
"POC12004","Serranidae","Epinephelus","areolatus",305.11433,1,2035.50895,"Passing"
"POC12004","Serranidae","Epinephelus","areolatus",269.94847,1,882.37833,"Passing"
"POC12004","Serranidae","Epinephelus","areolatus",273.37081,1,1361.22449,"Passing"
"POC12004","Serranidae","Epinephelus","malabaricus",NA,0,NA,NA
"POC12004","Sparidae","Argyrops","spinifer",289.2143,1,1556.77934,"Passing"
"POC12004","Sphyraenidae","Sphyraena","forsteri",NA,0,NA,NA
"POC12004","Sphyraenidae","Sphyraena","qenie",NA,1,3507.64122,"Passing"
"POC12004","Sphyraenidae","Sphyraena","qenie",NA,1,3715.44938,"Passing"
"POC12004","Sphyraenidae","Sphyraena","qenie",NA,1,4496.6433,"Passing"
"POC12004","Sphyraenidae","Sphyraena","qenie",NA,1,5418.96013,"Passing"
"POC12004","Sphyraenidae","Sphyraena","qenie",805.50693,1,5555.98764,"Passing"
"POC12004","Sphyrnidae","Sphyrna","lewini",NA,0,NA,NA
"POC12004","Sphyrnidae","Sphyrna","mokarran",NA,0,NA,NA
"POC12004","Synodontidae","Saurida","undosquamis",NA,0,NA,NA
"POC12004","Synodontidae","Synodus","indicus",NA,0,NA,NA
"POC12004","Synodontidae","Trachinocephalus","trachinus",NA,0,NA,NA
"POC12004","Terapontidae","Terapon","jarbua",NA,0,NA,NA
"POC12004","Tetraodontidae","Arothron","stellatus",NA,0,NA,NA
"POC12004","Tetraodontidae","Lagocephalus","lunaris",NA,0,NA,NA
"POC12004","Tetraodontidae","Lagocephalus","sceleratus",NA,0,NA,NA
"POC12004","Triakidae","Hemitriakis","falcata",693.07528,1,1921.29304,"Passing"
"POC12005","Ariidae","Netuma","thalassina",NA,0,NA,NA
"POC12005","Balistidae","Abalistes","stellatus",NA,0,NA,NA
"POC12005","Bothidae","Unknown","spp",NA,0,NA,NA
"POC12005","Carangidae","Carangoides","caeruleopinnatus",238.99288,1,1878.70172,"Passing"
"POC12005","Carangidae","Carangoides","chrysophrys",420.83043,1,1739.28733,"Passing"
"POC12005","Carangidae","Carangoides","chrysophrys",267.43306,1,1923.94068,"Passing"
"POC12005","Carangidae","Carangoides","chrysophrys",265.53827,1,2160.63303,"Passing"
"POC12005","Carangidae","Carangoides","malabaricus",NA,0,NA,NA
"POC12005","Carangidae","Carangoides","sp1",NA,0,NA,NA
"POC12005","Carangidae","Carangoides","sp10",NA,0,NA,NA
"POC12005","Carangidae","Carangoides","spp",NA,0,NA,NA
"POC12005","Carangidae","Caranx","ignobilis",NA,1,2846.29332,"Passing"
"POC12005","Carangidae","Caranx","tille",605.84612,1,2395.05562,"Passing"
"POC12005","Carangidae","Decapterus","spp",NA,0,NA,NA
"POC12005","Carangidae","Seriola","dumerili",NA,0,NA,NA
"POC12005","Carangidae","Seriola","hippos",NA,0,NA,NA
"POC12005","Carcharhinidae","Carcharhinus","albimarginatus",1488.76547,1,2051.82389,"Passing"
"POC12005","Carcharhinidae","Carcharhinus","coatesi",NA,0,NA,NA
"POC12005","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,NA
"POC12005","Carcharhinidae","Carcharhinus","sorrah",NA,0,NA,NA
"POC12005","Carcharhinidae","Carcharhinus","spp",NA,0,NA,NA
"POC12005","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,NA
"POC12005","Carcharhinidae","Loxodon","macrorhinus",625.39236,1,1493.68537,"Passing"
"POC12005","Echeneidae","Echeneis","naucrates",NA,0,NA,NA
"POC12005","Fistulariidae","Fistularia","commersonii",NA,0,NA,NA
"POC12005","Labridae","Bodianus","solatus",NA,0,NA,NA
"POC12005","Lethrinidae","Gymnocranius","grandoculis",NA,0,NA,NA
"POC12005","Lethrinidae","Lethrinus","lentjan",NA,0,NA,NA
"POC12005","Lutjanidae","Lutjanus","malabaricus",NA,0,NA,NA
"POC12005","Lutjanidae","Lutjanus","russellii",NA,0,NA,NA
"POC12005","Lutjanidae","Lutjanus","sebae",NA,0,NA,NA
"POC12005","Lutjanidae","Lutjanus","vitta",NA,0,NA,NA
"POC12005","Lutjanidae","Pristipomoides","multidens",387.77909,1,1666.19771,"Passing"
"POC12005","Lutjanidae","Pristipomoides","multidens",301.70752,1,1694.77799,"Passing"
"POC12005","Lutjanidae","Pristipomoides","multidens",325.5445,1,2073.84645,"Passing"
"POC12005","Lutjanidae","Pristipomoides","sieboldii",NA,0,NA,NA
"POC12005","Mullidae","Upeneus","moluccensis",NA,0,NA,NA
"POC12005","Nemipteridae","Nemipterus","spp",NA,4,1683.62877,"Passing"
"POC12005","Nemipteridae","Nemipterus","spp",NA,1,1379.6853,"Passing"
"POC12005","Nemipteridae","Nemipterus","spp",NA,1,1659.46894,"Passing"
"POC12005","Platycephalidae","Unknown","spp",NA,0,NA,NA
"POC12005","Priacanthidae","Priacanthus","hamrur",NA,0,NA,NA
"POC12005","Rachycentridae","Rachycentron","canadum",NA,0,NA,NA
"POC12005","Rhinidae","Rhynchobatus","australiae",NA,0,NA,NA
"POC12005","Scombridae","Scomberomorus","spp",NA,0,NA,NA
"POC12005","Serranidae","Epinephelus","amblycephalus",NA,0,NA,NA
"POC12005","Serranidae","Epinephelus","areolatus",NA,0,NA,NA
"POC12005","Serranidae","Epinephelus","malabaricus",NA,0,NA,NA
"POC12005","Sparidae","Argyrops","spinifer",298.01081,1,1442.885,"Passing"
"POC12005","Sparidae","Argyrops","spinifer",285.1352,1,2177.30084,"Passing"
"POC12005","Sparidae","Argyrops","spinifer",293.18493,1,1424.75401,"Passing"
"POC12005","Sparidae","Argyrops","spinifer",249.16905,1,1665.94344,"Passing"
"POC12005","Sphyraenidae","Sphyraena","forsteri",NA,0,NA,NA
"POC12005","Sphyraenidae","Sphyraena","qenie",NA,0,NA,NA
"POC12005","Sphyrnidae","Sphyrna","lewini",NA,0,NA,NA
"POC12005","Sphyrnidae","Sphyrna","mokarran",NA,0,NA,NA
"POC12005","Synodontidae","Saurida","undosquamis",NA,0,NA,NA
"POC12005","Synodontidae","Synodus","indicus",NA,0,NA,NA
"POC12005","Synodontidae","Trachinocephalus","trachinus",NA,0,NA,NA
"POC12005","Terapontidae","Terapon","jarbua",NA,0,NA,NA
"POC12005","Tetraodontidae","Arothron","stellatus",NA,0,NA,NA
"POC12005","Tetraodontidae","Lagocephalus","lunaris",360.44717,1,2031.65233,"Passing"
"POC12005","Tetraodontidae","Lagocephalus","sceleratus",NA,0,NA,NA
"POC12005","Triakidae","Hemitriakis","falcata",NA,0,NA,NA
"POC12006","Ariidae","Netuma","thalassina",315.86008,1,1600.84645,"Passing"
"POC12006","Balistidae","Abalistes","stellatus",NA,0,NA,NA
"POC12006","Bothidae","Unknown","spp",NA,0,NA,NA
"POC12006","Carangidae","Carangoides","caeruleopinnatus",NA,0,NA,NA
"POC12006","Carangidae","Carangoides","chrysophrys",NA,1,1853.2415,"Passing"
"POC12006","Carangidae","Carangoides","chrysophrys",499.95579,1,2133.2136,"Passing"
"POC12006","Carangidae","Carangoides","chrysophrys",444.87848,1,1845.94164,"Passing"
"POC12006","Carangidae","Carangoides","chrysophrys",502.07413,1,1276.31769,"Passing"
"POC12006","Carangidae","Carangoides","chrysophrys",487.26773,1,1976.32866,"Passing"
"POC12006","Carangidae","Carangoides","chrysophrys",430.73706,1,3396.12484,"Passing"
"POC12006","Carangidae","Carangoides","chrysophrys",478.32515,1,1479.46826,"Passing"
"POC12006","Carangidae","Carangoides","malabaricus",NA,0,NA,NA
"POC12006","Carangidae","Carangoides","sp1",NA,0,NA,NA
"POC12006","Carangidae","Carangoides","sp10",NA,0,NA,NA
"POC12006","Carangidae","Carangoides","spp",NA,0,NA,NA
"POC12006","Carangidae","Caranx","ignobilis",658.83113,1,2633.65584,"Passing"
"POC12006","Carangidae","Caranx","tille",NA,0,NA,NA
"POC12006","Carangidae","Decapterus","spp",NA,0,NA,NA
"POC12006","Carangidae","Seriola","dumerili",NA,0,NA,NA
"POC12006","Carangidae","Seriola","hippos",NA,0,NA,NA
"POC12006","Carcharhinidae","Carcharhinus","albimarginatus",NA,0,NA,NA
"POC12006","Carcharhinidae","Carcharhinus","coatesi",NA,0,NA,NA
"POC12006","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,NA
"POC12006","Carcharhinidae","Carcharhinus","sorrah",NA,0,NA,NA
"POC12006","Carcharhinidae","Carcharhinus","spp",NA,0,NA,NA
"POC12006","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,NA
"POC12006","Carcharhinidae","Loxodon","macrorhinus",NA,0,NA,NA
"POC12006","Echeneidae","Echeneis","naucrates",NA,0,NA,NA
"POC12006","Fistulariidae","Fistularia","commersonii",NA,0,NA,NA
"POC12006","Labridae","Bodianus","solatus",NA,0,NA,NA
"POC12006","Lethrinidae","Gymnocranius","grandoculis",NA,0,NA,NA
"POC12006","Lethrinidae","Lethrinus","lentjan",NA,0,NA,NA
"POC12006","Lutjanidae","Lutjanus","malabaricus",NA,0,NA,NA
"POC12006","Lutjanidae","Lutjanus","russellii",NA,0,NA,NA
"POC12006","Lutjanidae","Lutjanus","sebae",NA,0,NA,NA
"POC12006","Lutjanidae","Lutjanus","vitta",NA,0,NA,NA
"POC12006","Lutjanidae","Pristipomoides","multidens",496.35582,1,3319.30274,"Passing"
"POC12006","Lutjanidae","Pristipomoides","multidens",359.29998,1,3637.05085,"Passing"
"POC12006","Lutjanidae","Pristipomoides","sieboldii",NA,0,NA,NA
"POC12006","Mullidae","Upeneus","moluccensis",NA,0,NA,NA
"POC12006","Nemipteridae","Nemipterus","spp",61.22134,1,2242.36466,"Passing"
"POC12006","Nemipteridae","Nemipterus","spp",103.98705,1,2164.92822,"Passing"
"POC12006","Platycephalidae","Unknown","spp",NA,0,NA,NA
"POC12006","Priacanthidae","Priacanthus","hamrur",NA,0,NA,NA
"POC12006","Rachycentridae","Rachycentron","canadum",NA,0,NA,NA
"POC12006","Rhinidae","Rhynchobatus","australiae",NA,0,NA,NA
"POC12006","Scombridae","Scomberomorus","spp",NA,0,NA,NA
"POC12006","Serranidae","Epinephelus","amblycephalus",NA,0,NA,NA
"POC12006","Serranidae","Epinephelus","areolatus",NA,0,NA,NA
"POC12006","Serranidae","Epinephelus","malabaricus",NA,0,NA,NA
"POC12006","Sparidae","Argyrops","spinifer",NA,0,NA,NA
"POC12006","Sphyraenidae","Sphyraena","forsteri",NA,0,NA,NA
"POC12006","Sphyraenidae","Sphyraena","qenie",NA,0,NA,NA
"POC12006","Sphyrnidae","Sphyrna","lewini",NA,0,NA,NA
"POC12006","Sphyrnidae","Sphyrna","mokarran",NA,0,NA,NA
"POC12006","Synodontidae","Saurida","undosquamis",NA,0,NA,NA
"POC12006","Synodontidae","Synodus","indicus",NA,0,NA,NA
"POC12006","Synodontidae","Trachinocephalus","trachinus",NA,0,NA,NA
"POC12006","Terapontidae","Terapon","jarbua",NA,0,NA,NA
"POC12006","Tetraodontidae","Arothron","stellatus",NA,0,NA,NA
"POC12006","Tetraodontidae","Lagocephalus","lunaris",365.79618,1,1795.59394,"Passing"
"POC12006","Tetraodontidae","Lagocephalus","lunaris",400.78819,1,2177.58234,"Passing"
"POC12006","Tetraodontidae","Lagocephalus","lunaris",358.2671,1,1453.43409,"Passing"
"POC12006","Tetraodontidae","Lagocephalus","sceleratus",NA,0,NA,NA
"POC12006","Triakidae","Hemitriakis","falcata",NA,0,NA,NA
"POC12007","Ariidae","Netuma","thalassina",NA,0,NA,NA
"POC12007","Balistidae","Abalistes","stellatus",NA,0,NA,NA
"POC12007","Bothidae","Unknown","spp",NA,0,NA,NA
"POC12007","Carangidae","Carangoides","caeruleopinnatus",NA,0,NA,NA
"POC12007","Carangidae","Carangoides","chrysophrys",180.18025,1,3554.94264,"Passing"
"POC12007","Carangidae","Carangoides","chrysophrys",178.73475,1,3560.71429,"Passing"
"POC12007","Carangidae","Carangoides","malabaricus",NA,0,NA,NA
"POC12007","Carangidae","Carangoides","sp1",NA,0,NA,NA
"POC12007","Carangidae","Carangoides","sp10",NA,0,NA,NA
"POC12007","Carangidae","Carangoides","spp",NA,0,NA,NA
"POC12007","Carangidae","Caranx","ignobilis",786.88941,1,4175.92011,"Passing"
"POC12007","Carangidae","Caranx","tille",NA,0,NA,NA
"POC12007","Carangidae","Decapterus","spp",NA,0,NA,NA
"POC12007","Carangidae","Seriola","dumerili",NA,0,NA,NA
"POC12007","Carangidae","Seriola","hippos",NA,0,NA,NA
"POC12007","Carcharhinidae","Carcharhinus","albimarginatus",NA,0,NA,NA
"POC12007","Carcharhinidae","Carcharhinus","coatesi",NA,0,NA,NA
"POC12007","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,NA
"POC12007","Carcharhinidae","Carcharhinus","sorrah",NA,1,4375.49002,"Passing"
"POC12007","Carcharhinidae","Carcharhinus","spp",NA,0,NA,NA
"POC12007","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,NA
"POC12007","Carcharhinidae","Loxodon","macrorhinus",NA,0,NA,NA
"POC12007","Echeneidae","Echeneis","naucrates",NA,0,NA,NA
"POC12007","Fistulariidae","Fistularia","commersonii",NA,0,NA,NA
"POC12007","Labridae","Bodianus","solatus",NA,0,NA,NA
"POC12007","Lethrinidae","Gymnocranius","grandoculis",NA,0,NA,NA
"POC12007","Lethrinidae","Lethrinus","lentjan",NA,0,NA,NA
"POC12007","Lutjanidae","Lutjanus","malabaricus",NA,0,NA,NA
"POC12007","Lutjanidae","Lutjanus","russellii",NA,0,NA,NA
"POC12007","Lutjanidae","Lutjanus","sebae",NA,0,NA,NA
"POC12007","Lutjanidae","Lutjanus","vitta",NA,0,NA,NA
"POC12007","Lutjanidae","Pristipomoides","multidens",489.12661,1,2727.28545,"Passing"
"POC12007","Lutjanidae","Pristipomoides","sieboldii",NA,0,NA,NA
"POC12007","Mullidae","Upeneus","moluccensis",NA,0,NA,NA
"POC12007","Nemipteridae","Nemipterus","spp",88.06168,1,1369.33572,"Passing"
"POC12007","Platycephalidae","Unknown","spp",NA,0,NA,NA
"POC12007","Priacanthidae","Priacanthus","hamrur",NA,0,NA,NA
"POC12007","Rachycentridae","Rachycentron","canadum",NA,0,NA,NA
"POC12007","Rhinidae","Rhynchobatus","australiae",NA,0,NA,NA
"POC12007","Scombridae","Scomberomorus","spp",NA,0,NA,NA
"POC12007","Serranidae","Epinephelus","amblycephalus",NA,0,NA,NA
"POC12007","Serranidae","Epinephelus","areolatus",NA,0,NA,NA
"POC12007","Serranidae","Epinephelus","malabaricus",NA,0,NA,NA
"POC12007","Sparidae","Argyrops","spinifer",NA,0,NA,NA
"POC12007","Sphyraenidae","Sphyraena","forsteri",NA,0,NA,NA
"POC12007","Sphyraenidae","Sphyraena","qenie",NA,0,NA,NA
"POC12007","Sphyrnidae","Sphyrna","lewini",NA,0,NA,NA
"POC12007","Sphyrnidae","Sphyrna","mokarran",NA,0,NA,NA
"POC12007","Synodontidae","Saurida","undosquamis",NA,0,NA,NA
"POC12007","Synodontidae","Synodus","indicus",NA,0,NA,NA
"POC12007","Synodontidae","Trachinocephalus","trachinus",NA,0,NA,NA
"POC12007","Terapontidae","Terapon","jarbua",NA,0,NA,NA
"POC12007","Tetraodontidae","Arothron","stellatus",NA,0,NA,NA
"POC12007","Tetraodontidae","Lagocephalus","lunaris",286.96228,1,2998.85728,"Passing"
"POC12007","Tetraodontidae","Lagocephalus","sceleratus",NA,0,NA,NA
"POC12007","Triakidae","Hemitriakis","falcata",NA,0,NA,NA
"POC12008","Ariidae","Netuma","thalassina",348.57836,1,1324.21136,"Feeding"
"POC12008","Balistidae","Abalistes","stellatus",NA,0,NA,NA
"POC12008","Bothidae","Unknown","spp",NA,0,NA,NA
"POC12008","Carangidae","Carangoides","caeruleopinnatus",NA,0,NA,NA
"POC12008","Carangidae","Carangoides","chrysophrys",395.94469,1,2446.30167,"Passing"
"POC12008","Carangidae","Carangoides","chrysophrys",486.84924,1,3437.80334,"Passing"
"POC12008","Carangidae","Carangoides","chrysophrys",495.08541,1,5805.90344,"Passing"
"POC12008","Carangidae","Carangoides","malabaricus",237.65815,1,3699.74167,"Passing"
"POC12008","Carangidae","Carangoides","sp1",NA,0,NA,NA
"POC12008","Carangidae","Carangoides","sp10",NA,0,NA,NA
"POC12008","Carangidae","Carangoides","spp",NA,0,NA,NA
"POC12008","Carangidae","Caranx","ignobilis",561.7074,1,2996.06182,"Passing"
"POC12008","Carangidae","Caranx","tille",NA,0,NA,NA
"POC12008","Carangidae","Decapterus","spp",NA,0,NA,NA
"POC12008","Carangidae","Seriola","dumerili",NA,0,NA,NA
"POC12008","Carangidae","Seriola","hippos",NA,0,NA,NA
"POC12008","Carcharhinidae","Carcharhinus","albimarginatus",NA,0,NA,NA
"POC12008","Carcharhinidae","Carcharhinus","coatesi",NA,0,NA,NA
"POC12008","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,NA
"POC12008","Carcharhinidae","Carcharhinus","sorrah",NA,0,NA,NA
"POC12008","Carcharhinidae","Carcharhinus","spp",NA,0,NA,NA
"POC12008","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,NA
"POC12008","Carcharhinidae","Loxodon","macrorhinus",NA,1,4300.85548,"Passing"
"POC12008","Echeneidae","Echeneis","naucrates",NA,0,NA,NA
"POC12008","Fistulariidae","Fistularia","commersonii",NA,0,NA,NA
"POC12008","Labridae","Bodianus","solatus",NA,0,NA,NA
"POC12008","Lethrinidae","Gymnocranius","grandoculis",NA,0,NA,NA
"POC12008","Lethrinidae","Lethrinus","lentjan",NA,0,NA,NA
"POC12008","Lutjanidae","Lutjanus","malabaricus",NA,0,NA,NA
"POC12008","Lutjanidae","Lutjanus","russellii",NA,0,NA,NA
"POC12008","Lutjanidae","Lutjanus","sebae",NA,0,NA,NA
"POC12008","Lutjanidae","Lutjanus","vitta",NA,0,NA,NA
"POC12008","Lutjanidae","Pristipomoides","multidens",353.66824,1,1818.40828,"Passing"
"POC12008","Lutjanidae","Pristipomoides","sieboldii",NA,0,NA,NA
"POC12008","Mullidae","Upeneus","moluccensis",NA,0,NA,NA
"POC12008","Nemipteridae","Nemipterus","spp",73.19034,1,1327.57269,"Passing"
"POC12008","Nemipteridae","Nemipterus","spp",79.95748,1,1633.68984,"Passing"
"POC12008","Nemipteridae","Nemipterus","spp",103.01599,1,1435.53513,"Passing"
"POC12008","Nemipteridae","Nemipterus","spp",65.68339,1,1362.71465,"Passing"
